96,0,1
128,0,1
160,0,1
64,32,1
96,32,2
128,32,2
160,32,2
0,64,1
32,64,1
64,64,2
96,64,2
128,64,2
160,64,2
0,96,2
32,96,2
64,96,2
96,96,2
128,96,2
160,96,2
384,96,1
416,96,1
480,96,1
0,128,2
32,128,2
64,128,2
96,128,2
128,128,2
160,128,2
192,128,1
224,128,1
352,128,1
384,128,2
416,128,2
480,128,2
0,160,2
32,160,2
64,160,2
96,160,2
128,160,2
160,160,2
192,160,2
224,160,2
352,160,2
384,160,2
416,160,2
480,160,2
0,192,2
32,192,2
64,192,2
96,192,2
128,192,2
160,192,2
192,192,2
352,192,2
384,192,2
416,192,2
480,192,2
0,224,2
32,224,2
64,224,2
96,224,2
128,224,2
352,224,2
384,224,2
0,256,2
32,256,2
64,256,2
96,256,2
0,288,2
32,288,2
64,288,2
96,288,2
256,288,1
288,288,1
224,320,1
256,320,2
288,320,2
320,320,1
352,320,1
384,320,1
192,352,1
224,352,2
256,352,2
288,352,2
320,352,2
352,352,2
384,352,2
160,384,1
192,384,2
224,384,2
256,384,2
288,384,2
320,384,2
352,384,2
384,384,2
416,384,1
448,384,1
0,416,1
32,416,1
64,416,1
96,416,1
128,416,1
160,416,2
192,416,2
224,416,2
288,416,2
320,416,2
384,416,2
416,416,2
448,416,2
0,448,2
32,448,2
64,448,2
96,448,2
128,448,2
160,448,2
192,448,2
448,448,2
0,480,2
